Name,Country,Latitude,Longitude,Temperature(F),Wind Speed(mph),Cloud Coverage,Humidity
Manhattan,US,40.7834,-73.9662,44.86999999999996,3.09,1,24
Iquitos,PE,-3.7481,-73.2472,86.26999999999995,4.12,40,70
Berlevåg,NO,70.8578,29.0864,21.469999999999956,6.17,75,86
Albany,US,42.6001,-73.9662,38.26400000000003,1.25,28,28
Mataura,NZ,-46.1927,168.8643,59.26999999999996,1.34,66,75
Kaitangata,NZ,-46.2817,169.8464,60.27799999999996,1.79,75,70
Grindavik,IS,63.8424,-22.4338,34.06999999999996,4.12,40,93
Deputatsky,RU,69.3,139.9,-22.359999999999978,3.16,82,86
Barrow,US,71.2906,-156.7887,8.869999999999958,9.77,90,72
Eldorado,BR,-23.7869,-54.2836,75.29000000000002,1.53,0,63
Chokurdakh,RU,70.6333,147.9167,-16.40199999999998,5.43,98,88
Aasiaat,GL,68.7098,-52.8699,9.23000000000004,1.75,90,95
Avarua,CK,-21.2078,-159.775,82.66999999999996,4.63,75,83
Menongue,AO,-14.6585,17.691,65.94800000000004,0.99,26,68
Manjacaze,MZ,-24.7117,33.8828,71.69000000000003,4.62,0,76
George Town,MY,5.4112,100.3354,80.27599999999998,1.03,20,83
College,US,64.8569,-147.8028,29.26400000000003,3.09,75,68
Mwinilunga,ZM,-11.7358,24.4293,62.34800000000003,0.89,100,95
Klaksvík,FO,62.2266,-6.589,41.26999999999996,5.66,90,100
Fairbanks,US,64.8378,-147.7164,29.26400000000003,4.63,40,74
Yulara,AU,-25.2406,130.9889,70.06999999999996,4.12,0,52
Port Hardy,CA,50.6996,-127.4199,43.06999999999996,6.17,90,81
Port Lincoln,AU,-34.7333,135.8667,61.95199999999998,6.34,3,80
Hilo,US,19.7297,-155.09,73.66999999999996,3.6,90,83
Lebu,CL,-37.6167,-73.65,61.50199999999998,6.45,45,67
Mâncio Lima,BR,-7.6142,-72.8958,77.26999999999995,3.09,40,100
Vaini,TO,-21.2,-175.2,79.06999999999996,6.17,75,65
Chuguyevka,RU,44.1653,133.8633,20.20999999999998,2.63,0,92
Gazli,UZ,40.1333,63.45,50.14399999999998,2.59,53,49
Punta Arenas,CL,-53.15,-70.9167,62.86999999999996,13.38,40,48
Torres,BR,-29.3353,-49.7269,73.976,0.32,45,86
Davila,PH,18.4726,120.5763,73.66999999999996,2.06,20,83
Rikitea,PF,-23.1203,-134.9692,80.99600000000005,5.14,100,82
Yellowknife,CA,62.456,-114.3525,-0.7240000000000109,5.14,1,50
Calama,CL,-22.4667,-68.9333,75.46999999999997,13.89,0,23
Hermanus,ZA,-34.4187,19.2345,61.46600000000001,2.85,79,62
Jizan,SA,17.3333,42.6667,79.06999999999996,1.54,0,78
Port Alfred,ZA,-33.5906,26.891,66.27200000000005,0.45,100,78
